date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:29:11	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Jun%202021%2006:29:10%20GMT	https://demos.creative-tim.com/robots.txt		(from )
08:29:11	179457/179457	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/	D:/Websites/PaperUIPro/demos.creative-tim.com/paper-kit-2-pro/index.html	(from )
08:29:11	2446/2446	---M--	200	added ('OK')	image/png	etag:%225ee76e30-98e%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img//apple-icon.png	D:/Websites/PaperUIPro/demos.creative-tim.com/paper-kit-2-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/paper-kit-2-pro/)
08:29:11	1150/1150	---M--	200	added ('OK')	image/png	etag:%225ee76e30-47e%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/img//favicon.png	D:/Websites/PaperUIPro/demos.creative-tim.com/paper-kit-2-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/paper-kit-2-pro/)
08:29:12	126166/126166	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Jun%202021%2006:29:12%20GMT	https://raw.githubusercontent.com/creativetimofficial/public-assets/master/paper-kit-2-pro-html/opt_pk2p_thumbnail.jpg	D:/Websites/PaperUIPro/raw.githubusercontent.com/creativetimofficial/public-assets/master/paper-kit-2-pro-html/opt_pk2p_thumbnail.jpg	(from https://demos.creative-tim.com/paper-kit-2-pro/)
08:29:13	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:56%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	D:/Websites/PaperUIPro/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/paper-kit-2-pro/)
08:29:13	160404/160404	---M-Z	200	added ('OK')	text/css	etag:W/%225ee76e30-27294%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/css/bootstrap.min.css	D:/Websites/PaperUIPro/demos.creative-tim.com/paper-kit-2-pro/assets/css/bootstrap.min.css	(from https://demos.creative-tim.com/paper-kit-2-pro/)
08:29:13	225674/225674	---M-Z	200	added ('OK')	text/css	etag:W/%225ee76e30-3718a%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/css/paper-kit.min.css?v=2.3.1	D:/Websites/PaperUIPro/demos.creative-tim.com/paper-kit-2-pro/assets/css/paper-kit.min7317.css	(from https://demos.creative-tim.com/paper-kit-2-pro/)
08:29:14	57807/57807	---M-Z	200	added ('OK')	text/css	etag:W/%225ee76e30-e1cf%22	https://demos.creative-tim.com/paper-kit-2-pro/assets/demo/demo.css	D:/Websites/PaperUIPro/demos.creative-tim.com/paper-kit-2-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/paper-kit-2-pro/)
08:29:14	49153/49153	---MC-	200	added ('OK')	text/javascript	date:Fri,%2009%20Apr%202021%2023:59:54%20GMT	https://www.google-analytics.com/analytics.js	D:/Websites/PaperUIPro/www.google-analytics.com/analytics.js	(from https://demos.creative-tim.com/paper-kit-2-pro/)
08:29:15	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Jun%202021%2006:29:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Websites/PaperUIPro/www.googletagmanager.com/gtm.85445.delayed	(from https://demos.creative-tim.com/paper-kit-2-pro/)
08:29:15	179457/179457	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/index.html	D:/Websites/PaperUIPro/demos.creative-tim.com/paper-kit-2-pro/index-2.html	(from https://demos.creative-tim.com/paper-kit-2-pro/)
08:29:16	65017/65017	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/presentation.html	D:/Websites/PaperUIPro/demos.creative-tim.com/paper-kit-2-pro/presentation.html	(from https://demos.creative-tim.com/paper-kit-2-pro/)
08:29:16	47486/47486	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/docs/1.0/getting-started/introduction.html	D:/Websites/PaperUIPro/demos.creative-tim.com/paper-kit-2-pro/docs/1.0/getting-started/introduction.html	(from https://demos.creative-tim.com/paper-kit-2-pro/)
